layer,crop,cv,model,metric,point,ci_lo,ci_hi,boot_mean,boot_sd,method,n,n_boot,seed
A,bugday,LOILO,pls,bias_kg_da,1.2575,-4.1953,6.9066,1.2588,2.8326,iid,589,5000,12345
A,bugday,LOILO,pls,r2,0.0129,-0.128,0.0949,0.0005,0.0577,cluster,589,5000,12345
A,bugday,LOILO,pls,rmse_kg_da,69.1323,62.3606,76.8467,69.1643,3.6966,cluster,589,5000,12345
A,bugday,LOILO,pls,mae_kg_da,54.3759,48.9233,61.24,54.4799,3.1564,cluster,589,5000,12345
A,bugday,LOILO,pls,mape_pct,15.3983,12.9291,18.8036,15.442,1.4846,cluster,589,5000,12345
A,bugday,LOILO,pls,bias_kg_da,1.2575,-12.9644,16.9151,1.3106,7.5756,cluster,589,5000,12345
A,bugday,LOILO,random_forest,r2,0.3616,0.3053,0.4118,0.36,0.0272,iid,589,5000,12345
A,bugday,LOILO,random_forest,rmse_kg_da,55.5976,51.8969,59.1773,55.5401,1.8228,iid,589,5000,12345
A,bugday,LOILO,random_forest,mae_kg_da,43.2485,40.3876,46.0876,43.2301,1.4362,iid,589,5000,12345
A,bugday,LOILO,random_forest,mape_pct,12.3338,11.3277,13.3826,12.3256,0.5162,iid,589,5000,12345
A,bugday,LOILO,random_forest,bias_kg_da,0.5227,-3.9467,5.1609,0.5185,2.2952,iid,589,5000,12345
A,bugday,LOILO,random_forest,r2,0.3616,0.2771,0.4195,0.3545,0.0368,cluster,589,5000,12345
A,bugday,LOILO,random_forest,rmse_kg_da,55.5976,49.6595,61.816,55.5868,3.0691,cluster,589,5000,12345
A,bugday,LOILO,random_forest,mae_kg_da,43.2485,38.5277,48.6821,43.3058,2.5741,cluster,589,5000,12345
A,bugday,LOILO,random_forest,mape_pct,12.3338,10.297,14.9528,12.3616,1.1746,cluster,589,5000,12345
A,bugday,LOILO,random_forest,bias_kg_da,0.5227,-9.919,12.2529,0.5788,5.689,cluster,589,5000,12345
A,bugday,LOILO,xgboost,r2,0.3706,0.2862,0.4441,0.368,0.0406,iid,589,5000,12345
A,bugday,LOILO,xgboost,rmse_kg_da,55.2033,51.3933,59.1162,55.1688,1.9668,iid,589,5000,12345
A,bugday,LOILO,xgboost,mae_kg_da,41.8954,39.0884,44.8076,41.9057,1.4717,iid,589,5000,12345
A,bugday,LOILO,xgboost,mape_pct,11.8607,10.9337,12.8409,11.8609,0.488,iid,589,5000,12345
A,bugday,LOILO,xgboost,bias_kg_da,-0.2234,-4.7233,4.2912,-0.2185,2.2849,iid,589,5000,12345
A,bugday,LOILO,xgboost,r2,0.3706,0.1999,0.4963,0.3629,0.077,cluster,589,5000,12345
A,bugday,LOILO,xgboost,rmse_kg_da,55.2033,47.3869,63.0419,55.135,4.0104,cluster,589,5000,12345
A,bugday,LOILO,xgboost,mae_kg_da,41.8954,35.8221,48.4469,41.9425,3.2386,cluster,589,5000,12345
A,bugday,LOILO,xgboost,mape_pct,11.8607,9.7467,14.2658,11.8819,1.1416,cluster,589,5000,12345
A,bugday,LOILO,xgboost,bias_kg_da,-0.2234,-12.3067,11.8255,-0.1849,6.1993,cluster,589,5000,12345
A,bugday,LOYO,elastic_net,r2,-0.0918,-0.1504,-0.0394,-0.094,0.0287,iid,589,5000,12345
A,bugday,LOYO,elastic_net,rmse_kg_da,72.7064,68.2552,77.1399,72.6335,2.2688,iid,589,5000,12345
A,bugday,LOYO,elastic_net,mae_kg_da,57.0081,53.4335,60.6515,56.9853,1.8589,iid,589,5000,12345
A,bugday,LOYO,elastic_net,mape_pct,16.0454,14.834,17.3537,16.0362,0.6402,iid,589,5000,12345
A,bugday,LOYO,elastic_net,bias_kg_da,-1.8981,-7.6559,4.1851,-1.9062,2.9907,iid,589,5000,12345
A,bugday,LOYO,elastic_net,r2,-0.0918,-0.2437,0.0066,-0.1093,0.062,cluster,589,5000,12345
A,bugday,LOYO,elastic_net,rmse_kg_da,72.7064,62.0691,84.0591,72.3503,5.5525,cluster,589,5000,12345
A,bugday,LOYO,elastic_net,mae_kg_da,57.0081,48.5514,66.6338,56.8817,4.5317,cluster,589,5000,12345
A,bugday,LOYO,elastic_net,mape_pct,16.0454,13.5555,18.5848,15.9953,1.2965,cluster,589,5000,12345
A,bugday,LOYO,elastic_net,bias_kg_da,-1.8981,-22.9873,18.7987,-2.0382,10.6906,cluster,589,5000,12345
A,bugday,LOYO,gpr,r2,-0.1979,-0.2974,-0.1093,-0.2007,0.0464,iid,589,5000,12345
A,bugday,LOYO,gpr,rmse_kg_da,76.1551,71.3763,80.8608,76.0812,2.4481,iid,589,5000,12345
A,bugday,LOYO,gpr,mae_kg_da,59.7498,55.8986,63.5207,59.72,1.9652,iid,589,5000,12345
A,bugday,LOYO,gpr,mape_pct,16.6296,15.4045,17.9091,16.6175,0.6373,iid,589,5000,12345
A,bugday,LOYO,gpr,bias_kg_da,-1.5853,-7.6979,4.5569,-1.6345,3.1484,iid,589,5000,12345
A,bugday,LOYO,gpr,r2,-0.1979,-0.3726,-0.0612,-0.2164,0.0788,cluster,589,5000,12345
A,bugday,LOYO,gpr,rmse_kg_da,76.1551,64.2023,88.4081,75.7719,6.2112,cluster,589,5000,12345
A,bugday,LOYO,gpr,mae_kg_da,59.7498,50.4587,70.1659,59.6383,4.9925,cluster,589,5000,12345
A,bugday,LOYO,gpr,mape_pct,16.6296,13.9853,19.1779,16.585,1.3308,cluster,589,5000,12345
A,bugday,LOYO,gpr,bias_kg_da,-1.5853,-25.6632,21.2658,-1.7632,11.8858,cluster,589,5000,12345
A,bugday,LOYO,pls,r2,-0.2476,-0.3479,-0.1601,-0.2506,0.0486,iid,589,5000,12345
A,bugday,LOYO,pls,rmse_kg_da,77.7189,73.001,82.4748,77.6438,2.4084,iid,589,5000,12345
A,bugday,LOYO,pls,mae_kg_da,61.0393,57.2774,64.9875,61.0194,1.9714,iid,589,5000,12345
A,bugday,LOYO,pls,mape_pct,16.9893,15.7873,18.2664,16.9812,0.6344,iid,589,5000,12345
A,bugday,LOYO,pls,bias_kg_da,-6.4205,-12.6354,0.0249,-6.4329,3.1913,iid,589,5000,12345
A,bugday,LOYO,pls,r2,-0.2476,-0.5325,-0.0437,-0.2685,0.1255,cluster,589,5000,12345
A,bugday,LOYO,pls,rmse_kg_da,77.7189,64.7299,90.721,77.2946,6.6109,cluster,589,5000,12345
A,bugday,LOYO,pls,mae_kg_da,61.0393,50.8894,72.1765,60.9048,5.4536,cluster,589,5000,12345
A,bugday,LOYO,pls,mape_pct,16.9893,14.258,19.7232,16.938,1.4037,cluster,589,5000,12345
A,bugday,LOYO,pls,bias_kg_da,-6.4205,-30.1717,16.8247,-6.5603,12.0561,cluster,589,5000,12345
A,bugday,LOYO,random_forest,r2,-0.1688,-0.2691,-0.0815,-0.172,0.049,iid,589,5000,12345
A,bugday,LOYO,random_forest,rmse_kg_da,75.2268,70.8666,79.4671,75.1544,2.2037,iid,589,5000,12345
A,bugday,LOYO,random_forest,mae_kg_da,59.6514,55.9194,63.3922,59.6235,1.8946,iid,589,5000,12345
A,bugday,LOYO,random_forest,mape_pct,16.4319,15.2722,17.6303,16.4208,0.5951,iid,589,5000,12345
A,bugday,LOYO,random_forest,bias_kg_da,-8.3148,-14.2542,-2.0987,-8.33,3.0881,iid,589,5000,12345
A,bugday,LOYO,random_forest,r2,-0.1688,-0.4023,-0.0009,-0.1918,0.1012,cluster,589,5000,12345
A,bugday,LOYO,random_forest,rmse_kg_da,75.2268,64.1151,86.474,74.9086,5.6609,cluster,589,5000,12345
A,bugday,LOYO,random_forest,mae_kg_da,59.6514,50.5659,69.834,59.5585,4.933,cluster,589,5000,12345
A,bugday,LOYO,random_forest,mape_pct,16.4319,13.8819,18.9739,16.3911,1.2922,cluster,589,5000,12345
A,bugday,LOYO,random_forest,bias_kg_da,-8.3148,-31.149,14.2112,-8.5244,11.6575,cluster,589,5000,12345
A,bugday,LOYO,xgboost,r2,-0.2339,-0.3443,-0.1366,-0.2382,0.0531,iid,589,5000,12345
A,bugday,LOYO,xgboost,rmse_kg_da,77.2925,72.8681,81.7662,77.2449,2.2598,iid,589,5000,12345
A,bugday,LOYO,xgboost,mae_kg_da,61.5799,57.8098,65.469,61.5747,1.9247,iid,589,5000,12345
A,bugday,LOYO,xgboost,mape_pct,17.0755,15.9166,18.3179,17.0713,0.6182,iid,589,5000,12345
A,bugday,LOYO,xgboost,bias_kg_da,-3.3526,-9.3798,2.9484,-3.3763,3.1733,iid,589,5000,12345
A,bugday,LOYO,xgboost,r2,-0.2339,-0.4857,-0.048,-0.2574,0.1107,cluster,589,5000,12345
A,bugday,LOYO,xgboost,rmse_kg_da,77.2925,65.9504,89.0593,76.94,5.9041,cluster,589,5000,12345
A,bugday,LOYO,xgboost,mae_kg_da,61.5799,52.0325,72.1726,61.4585,5.1038,cluster,589,5000,12345
A,bugday,LOYO,xgboost,mape_pct,17.0755,14.2647,19.8156,17.0268,1.385,cluster,589,5000,12345
A,bugday,LOYO,xgboost,bias_kg_da,-3.3526,-27.7945,20.3985,-3.5889,12.2069,cluster,589,5000,12345
A,bugday,Spatiotemporal,elastic_net,r2,0.0381,-0.0017,0.0733,0.0364,0.0192,iid,589,5000,12345
