2026-05-22 09:58:17.138 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 09:58:17.149 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 09:58:17.159 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 09:58:17.169 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 09:58:17.170 | INFO     | prospective_validation.model_loader:load_frozen_champion:176 | Registering CP2 custom layers (SelfAttention, ExtractLastNDVI, ScaleDelta) …
2026-05-22 09:59:45.637 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 09:59:45.672 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 09:59:45.687 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 09:59:45.699 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 09:59:45.712 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 09:59:45.723 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 09:59:45.736 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 09:59:45.746 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 09:59:45.747 | INFO     | prospective_validation.model_loader:load_frozen_champion:176 | Registering CP2 custom layers (SelfAttention, ExtractLastNDVI, ScaleDelta) …
2026-05-22 09:59:48.113 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 384.17s (cache_hit=False)
2026-05-22 09:59:48.116 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month bd4919a3d953 (2498 bytes)
