ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum
1388,Hayrabolu,Tekirdağ,2019,270.0,2469.15,538.27,0,200.81000000000003,,38.11000000000001,19.32,0.1454960574872206,46,25.375161290322584,33.07322580645161,13.799508196721307,764.9699999999999,3977.57
1388,Hayrabolu,Tekirdağ,2020,233.0,2460.79,568.9150000000001,0,200.93,,2.39,7.19,0.1407585106655526,54,26.134516129032257,34.33,14.056284153005466,860.68,4106.630000000001
1388,Hayrabolu,Tekirdağ,2021,230.0,2390.5150000000003,592.72,0,225.5,,9.85,9.75,0.1717859366235584,56,26.89838709677419,34.90161290322581,13.141475409836064,819.3400000000001,3896.35
1388,Hayrabolu,Tekirdağ,2022,193.0,2479.795,567.7499999999999,0,212.62,,16.509999999999998,65.92999999999999,0.1517249867373177,48,26.16741935483871,34.218709677419355,13.788688524590164,833.4399999999999,4065.29
1388,Hayrabolu,Tekirdağ,2023,113.0,2544.955,626.855,0,178.61,,15.98,4.839999999999999,0.1321483854050988,57,28.177419354838708,36.34838709677419,13.451639344262295,833.3900000000002,3850.99
1388,Hayrabolu,Tekirdağ,2024,181.0,2784.83,652.2099999999999,0,149.42,,9.589999999999998,6.890000000000001,0.0996070644436794,58,28.842903225806456,36.8158064516129,14.086120218579236,805.9199999999998,4080.68
1412,İpsala,Edirne,2017,217.0,2570.71,580.4749999999999,0,220.15,,43.63,9.56,0.1526146419219781,44,26.49838709677419,33.80838709677419,13.0568306010929,819.4899999999999,4238.02
1412,İpsala,Edirne,2018,266.0,2671.28,570.1750000000001,0,226.13,,69.61,0.38,0.1664935217026716,45,26.39967741935483,32.06677419354839,12.07289617486339,798.4799999999999,4150.03
1412,İpsala,Edirne,2019,267.0,2599.42,561.9200000000001,0,208.86,,40.73,21.92,0.146935876249813,45,26.165806451612895,33.171290322580646,12.637158469945357,824.9899999999999,4212.64
1412,İpsala,Edirne,2020,247.0,2581.635,593.505,0,201.61,,1.6700000000000002,6.57,0.1392244596138856,57,27.027741935483867,34.5116129032258,12.859508196721311,878.3400000000001,4285.5
1412,İpsala,Edirne,2021,214.0,2517.925,616.2550000000001,0,225.22,,9.25,9.93,0.1636811360217807,58,27.756129032258062,34.968709677419355,12.018087431693989,852.5899999999999,4231.27
1412,İpsala,Edirne,2022,252.0,2616.8150000000005,598.47,0,215.72000000000003,,16.08,69.1,0.1504300977775176,49,27.241612903225807,34.55483870967742,12.657158469945356,846.59,4259.530000000001
1412,İpsala,Edirne,2023,147.0,2654.1600000000003,642.575,0,179.13,,17.44,5.099999999999999,0.1331881026153303,56,28.74935483870968,35.95645161290323,12.400218579234972,852.4700000000001,3944.62
1412,İpsala,Edirne,2024,142.0,2925.3949999999995,671.4700000000001,0,153.26,,10.72,7.6,0.1011665949866576,59,29.594838709677425,36.66774193548388,12.926502732240436,821.7900000000001,4235.79
1464,Keşan,Edirne,2017,255.0,2441.805,560.5649999999999,0,221.77,,43.46,10.46,0.1494003660449384,39,25.76838709677419,33.88483870967742,14.358688524590166,819.4899999999999,4238.02
1464,Keşan,Edirne,2018,260.0,2545.095,557.055,0,226.77,,69.7,0.3299999999999999,0.1638104366468034,46,25.848064516129032,32.31935483870968,13.023989071038253,798.4799999999999,4150.03
1464,Keşan,Edirne,2019,257.0,2469.15,538.27,0,200.81000000000003,,38.11000000000001,19.32,0.1379018725717103,46,25.375161290322584,33.07322580645161,13.799508196721307,824.9899999999999,4212.64
1464,Keşan,Edirne,2020,249.0,2460.79,568.9150000000001,0,200.93,,2.39,7.19,0.1352908010262218,54,26.134516129032257,34.33,14.056284153005466,878.3400000000001,4285.5
1464,Keşan,Edirne,2021,279.0,2390.5150000000003,592.72,0,225.5,,9.85,9.75,0.1598148500073566,56,26.89838709677419,34.90161290322581,13.141475409836064,852.5899999999999,4231.27
1464,Keşan,Edirne,2022,268.0,2479.795,567.7499999999999,0,212.62,,16.509999999999998,65.92999999999999,0.145531644159199,48,26.16741935483871,34.218709677419355,13.788688524590164,846.59,4259.530000000001
1464,Keşan,Edirne,2023,189.0,2544.955,626.855,0,178.61,,15.98,4.839999999999999,0.1292855477769463,57,28.177419354838708,36.34838709677419,13.451639344262295,852.4700000000001,3944.62
1464,Keşan,Edirne,2024,156.0,2784.83,652.2099999999999,0,149.42,,9.589999999999998,6.890000000000001,0.0964033778690184,58,28.842903225806456,36.8158064516129,14.086120218579236,821.7900000000001,4235.79
1471,Merkez,Kırklareli,2017,275.0,2261.46,519.43,0,261.66,,58.78000000000001,14.99,0.1941431272962968,36,24.49,31.97967741935484,13.509562841530055,802.7799999999997,4059.79
