prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2025-05-24,2025-05-31,0.3088499189198018,0.19289998710155487,0.11594993181824692,0.4761046767234802,0.5197499999999998,-0.21090008108019803,2025-05-31,0.32065,s2_gee_raw,0,0.0118000810801982,0.12775001289844512
2025-05-25,2025-06-01,0.33396252233982093,0.21115000545978546,0.12281251688003547,0.5122535228729248,0.5194499999999999,-0.18548747766017892,2025-05-31,0.32065,s2_gee_raw,1,0.013312522339820942,0.10949999454021453
2025-05-26,2025-06-02,0.35408226929903036,0.22940000891685486,0.1246822603821755,0.5412153005599976,0.5194499999999999,-0.1653677307009695,2025-06-02,0.3728,s2_gee_raw,0,0.01871773070096966,0.14339999108314516
2025-05-27,2025-06-03,0.3695778094053269,0.24764999747276306,0.12192781193256386,0.5635206699371338,0.5184555555555556,-0.14887774615022864,2025-06-02,0.3728,s2_gee_raw,1,0.003222190594673102,0.12515000252723696
2025-05-28,2025-06-04,0.3816025028944016,0.26590001583099365,0.11570248706340797,0.5808298587799072,0.4800041666666667,-0.09840166377226506,2025-06-05,0.4033,s2_gee_raw,1,0.021697497105598373,0.13739998416900634
2025-05-29,2025-06-05,0.39022028270959863,0.28415000438690186,0.10607027832269678,0.5932348966598511,0.4524166666666667,-0.06219638395706806,2025-06-05,0.4033,s2_gee_raw,0,0.01307971729040136,0.11914999561309814
2025-05-30,2025-06-06,0.39575077216029175,0.30239999294281006,0.0933507792174817,0.6011958718299866,0.4405583333333334,-0.04480756117304163,2025-06-05,0.4033,s2_gee_raw,1,0.007549227839708239,0.10090000705718993
2025-05-31,2025-06-07,0.4001631804347039,0.32065001130104065,0.07951316913366324,0.607547402381897,0.4405583333333334,-0.040395152898629494,2025-06-05,0.4033,s2_gee_raw,2,0.0031368195652961006,0.08264998869895934
2025-06-03,2025-06-10,0.41765819849967967,0.38296666741371155,0.03469153108596812,0.6327309608459473,0.44784027777777774,-0.030182079278098073,2025-06-12,0.5554,s2_gee_raw,2,0.13774180150032034,0.17243333258628846
2025-06-04,2025-06-11,0.4189233999788762,0.39313334226608276,0.025790057712793413,0.6345521807670593,0.4894354166666666,-0.07051201668779045,2025-06-12,0.5554,s2_gee_raw,1,0.13647660002112383,0.16226665773391724
2025-06-05,2025-06-12,0.42350864251852044,0.4032999873161316,0.020208655202388848,0.6411525011062622,0.4894354166666666,-0.06592677414814618,2025-06-12,0.5554,s2_gee_raw,0,0.13189135748147957,0.1521000126838684
2025-06-06,2025-06-13,0.4410234947025777,0.42502859234809875,0.015994902354478924,0.6663646101951599,0.4527569444444444,-0.011733449741866742,2025-06-12,0.5554,s2_gee_raw,1,0.11437650529742233,0.13037140765190125
2025-06-07,2025-06-14,0.45845660878419886,0.44675713777542114,0.011699471008777718,0.691459059715271,0.3869552083333333,0.07150140045086556,2025-06-15,0.55355,s2_gee_raw,1,0.09509339121580113,0.10679286222457884
2025-06-08,2025-06-15,0.47560993342399605,0.4684857130050659,0.007124220418930127,0.7161507606506348,0.34924583333333326,0.1263641000906628,2025-06-15,0.55355,s2_gee_raw,0,0.07794006657600394,0.08506428699493407
2025-06-09,2025-06-16,0.49256611768603337,0.4902142882347107,0.0023518294513226734,0.7405586838722229,0.2844749999999999,0.20809111768603344,2025-06-15,0.55355,s2_gee_raw,1,0.06098388231396662,0.0633357117652893
2025-06-10,2025-06-17,0.5090693883895875,0.5119428634643555,-0.002873475074767984,0.7643146514892578,0.2844749999999999,0.22459438838958756,2025-06-15,0.55355,s2_gee_raw,2,0.0444806116104125,0.04160713653564452
